;0;1;2;3;4;5;6
0;0.0;35.0;2.505559378454177;11.501888631013873;3.3914434435817844;22.089956485251857;26.57628126609723
1;0.0;326.0;14.096263741713756;287.6205326198042;16.95937889840911;6.633739031662614;5.628158479678418
2;1.0;21.0;2.431339037945228;11.165657692559963;3.3415053033864788;27.359610622211306;29.68527820031847
3;1.0;27.0;5.418211227644684;47.02915612774688;6.85778069988731;18.912292367522937;23.884511314613572
4;1.0;37.0;1.7559929152725606;5.710251921079648;2.3896133413336242;25.226140625706993;23.84484297412413
5;1.0;40.0;2.084544377966936;7.402662979255048;2.7207835230416713;25.20232456333139;35.604289909303795
6;1.0;55.0;6.052141528768441;59.88044486495376;7.738245593476195;14.677439989947558;13.40319067962285
7;1.0;58.0;9.057404912974684;144.06209989195327;12.002587216594314;24.409315721698658;29.336825965235956
8;1.0;129.0;2.561018600831146;9.282104186223751;3.046654589254212;14.37419492008749;12.763200981493542
9;1.0;136.0;3.6802173709580708;25.89867197527734;5.089073783634635;21.9207714463817;16.690402581389115
10;1.0;212.0;4.2164253076832345;34.94252932802817;5.911220629280231;6.544569538179434;4.701761920107715
11;1.0;254.0;15.196715550139073;375.93965660776513;19.389163380810558;10.992107420254385;8.397026396266352
12;1.0;277.0;8.295052506607133;103.42999861919196;10.170054012599538;7.10255233296147;5.822256694418941
13;1.0;280.0;2.4292778339326633;7.794497610786186;2.7918627492744315;40.598131470187504;42.012198593194334
14;1.0;292.0;1.7790779203465041;5.136903546649936;2.2664738133607316;5.412128426982221;4.259485059544775
15;1.0;323.0;10.113904788784241;183.13244268706566;13.532643595656603;13.810498698630749;11.143734657930645
16;1.0;362.0;6.172027504632089;65.23019939852395;8.076521491243861;4.969428662760303;3.7349109091513295
17;1.0;363.0;21.094833578159864;749.484319832255;27.376711267649643;14.56725132452538;11.264494305389725
18;1.0;369.0;19.841337552236368;693.1003539302374;26.326799158466596;6.804361537902731;5.239292628344047
19;1.0;378.0;8.780128394613278;129.97782901412378;11.400781947486049;5.276127162426619;4.032232584106308
20;1.0;384.0;5.288039405263475;41.50795231938622;6.442666553484374;2.4984518155925;2.062278156248113
21;1.0;401.0;22.936028439006044;894.7564858340711;29.912480435999804;3.4644687764676787;2.6671790755060245
22;1.0;452.0;25.863135120186072;1007.7652309809852;31.7453182529485;3.9815173894265503;3.2927607698212054
23;1.0;455.0;10.307568847424097;197.82782004604505;14.065127800558551;8.837254586766486;6.315153923578889
24;1.0;457.0;515.5311668545841;354270.10176807124;595.2059322352821;30.83551189249112;26.45277008789484
25;1.0;490.0;2.8829068741177513;21.335142804965688;4.618998030413705;32.293090110935516;20.470893055638822
26;2.0;18.0;12.71627032938175;291.8622637638317;17.083976813489056;38.638050022765405;29.637036798469467
27;2.0;143.0;7.844646867838473;127.57572155296882;11.294942299674169;52.58207223623286;44.60247702488386
28;2.0;144.0;9.390776878240857;160.01974296866197;12.649891025959946;15.958291167264699;12.489542590581863
29;2.0;175.0;23.356030650013544;686.3622843226818;26.19851683440652;44.55504920719088;45.719058325755235
30;2.0;196.0;17.033779071635028;416.722672991736;20.41378634628412;19.71928672210562;17.534753230979007
31;2.0;218.0;28.09169745042664;1220.094324944182;34.92984862469607;17.79666253260128;16.363404182498726
32;2.0;245.0;17.122526515294247;344.5921772514828;18.563194155410937;49.14611388057731;58.64702454836842
33;2.0;284.0;13.099607367403445;315.4708630377122;17.76149945915919;9.405484799937081;6.908595172281612
34;2.0;298.0;24.2722820302032;1252.3668259259523;35.388795203085856;54.398244983739055;50.39747215268267
35;2.0;314.0;31.26360194241852;2021.4002420816514;44.95998489859234;31.522439720402833;23.051615999343493
36;2.0;328.0;2.4162021540276406;10.740033366525156;3.277199012346543;8.278236603877916;5.908259061895124
37;2.0;402.0;11.240287563118203;214.2433655387544;14.637054537670972;11.775045621081254;8.49798048111241
38;2.0;428.0;6.66691569570642;69.91745292826378;8.361665679053653;7.192603929609122;5.777014791693788
39;2.0;438.0;10.355492128635369;208.19628962157483;14.429008615340654;7.256604122533027;5.330937446184651
40;2.0;456.0;14.877336945261419;335.38913770515455;18.313632564435558;6.91170400065043;5.664065564627384
41;2.0;475.0;1.472260643505228;5.247228086460108;2.290682886490426;41.106217460892054;30.977534287059438
42;2.0;485.0;0.7306638055501739;1.0667384073508905;1.0328302897140897;19.38982432601485;14.31433303932685
43;2.0;495.0;8.060654273695189;116.3421223103355;10.78620055025566;33.60631011312534;28.222648323606364
44;2.0;498.0;1.7805230453750513;4.532115037962747;2.1288764731573195;9.188206000525883;8.279189274501002
45;3.0;2.0;0.8223179167107086;1.7965810154090525;1.3403660005420357;50.68492187139564;36.36483165980114
46;3.0;9.0;2.3352255330385066;10.026458583020728;3.1664583659067316;48.952678175531624;47.77152582444772
47;3.0;10.0;1.2760435100442942;2.000917714611405;1.4145379862737533;44.63384710769788;39.66112809731225
48;3.0;34.0;0.9719313678428761;1.657414335076583;1.2874060490290478;27.858602685448698;32.49315828095626
49;3.0;46.0;2.636627851833528;12.484090859514156;3.533283297375708;22.248034500119903;27.94131957257868
50;3.0;53.0;2.299998279367425;9.020158315220732;3.0033578400218532;29.41597564438189;27.78047599489345
51;3.0;222.0;4.33079646053453;47.31451877938934;6.878554992103308;24.652911709396676;18.69091859843378
52;3.0;250.0;2.6291605667122897;13.44318158491615;3.6664944545050315;11.156906549277776;7.943923497991134
53;3.0;354.0;26.59015612358209;1383.232363441285;37.19183194521729;18.71921521001348;13.913370387543681
