;0;1;2;3;4;5;6;7;8;9;10
0;68.1587412587413;3.0;1.0;1.0;749.448658008658;2.0;7370.081609218186;2.0;4.0;1943.6504835589935;0.0
1;67.26923076923077;3.0;1.0;1.0;764.6916666666666;2.0;25761.0187175;2.0;3.0;1947.6236702127658;1.0
2;66.69679487179492;3.0;1.0;1.0;819.8279365079361;2.0;9330.846610766668;2.0;3.0;1942.591489361702;0.0
3;67.26923076923077;3.0;0.0;1.0;1146.8238095238103;2.0;138951.20759999997;1.0;2.0;1571.3563829787217;0.0
4;67.26923076923076;3.0;1.0;1.0;713.647619047619;2.0;19434.137023000003;2.0;4.0;1942.7127659574467;4.0
5;67.26923076923077;3.0;1.0;1.0;713.6476190476191;2.0;31923.67290333331;2.0;3.0;1942.7127659574464;0.0
6;63.65384615384616;3.0;1.0;1.0;679.9089947089947;2.0;22157.09503666667;2.0;3.0;1942.7127659574467;4.0
7;67.26923076923077;3.0;1.0;1.0;897.2063492063493;2.0;53760.410398333326;2.0;3.0;1930.260638297872;0.0
8;66.36888111888109;3.0;1.0;1.0;770.6662337662333;2.0;14624.340444999998;2.0;3.0;1940.4792069632495;0.0
9;67.26923076923077;3.0;1.0;1.0;3652.5;2.0;14321.461964999999;2.0;0.0;1942.7127659574471;2.0
10;68.12426035502963;3.0;1.0;1.0;830.2855311355313;2.0;11963.091921153846;2.0;3.0;1943.5069558101475;1.0
11;68.22968580715062;3.0;1.0;1.0;710.2689470154263;2.0;5293.4154956056345;2.0;3.0;1943.668564578962;0.0
12;66.544939271255;3.0;1.0;1.0;611.2846115288216;2.0;3158.6642372631586;2.0;6.0;1942.68611422172;0.0
13;67.63198380566796;3.0;1.0;1.0;508.06596491228066;2.0;1412.4447015473681;2.0;6.0;1949.832250839864;1.0
14;65.13562753036435;3.0;1.0;1.0;714.0345864661653;2.0;16874.679911578947;2.0;3.0;1942.7127659574467;4.0
