Cargado,MAE,MSE,RSME,CVRMSE,MAPE,Muestras
Si,0.800291610264801,1.5348796064487038,1.2389025815005406,73.1716065339059,64.40559194551378,-2000
No,0.6904112108576639,1.1001728285232477,1.0488912376997186,61.94922674942532,60.74803185717044,-2000
