"Timestamp";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V59";"V60";"V61";"V62";"V66";"V118"
735080;25.68252;55.626;0.030988;25.68252;NA;NA;23;89;1.22936;1.1;1.1;0.36;0.46;18.333333;24.444444;26.666667;22.777778;NA;0.110324
735080.041667;25.796583;55.626;0.030988;25.796583;NA;NA;22.75;88.75;1.00584;1.1;1.1;0.36;0.46;18.333333;24.444444;26.666667;22.777778;NA;0.151293
735080.083333;25.796583;55.626;0.030988;25.796583;NA;NA;22;89.5;1.34112;1.1;1.1;0.36;0.46;18.333333;24.444444;26.666667;22.777778;NA;0.151293
735080.125;25.796583;55.626;0.030988;25.796583;NA;NA;22;94;1.78816;1.1;1.1;0.36;0.46;18.333333;24.444444;26.666667;22.777778;NA;0.151293
735080.166667;25.82509875;55.626;0.030988;25.82509875;NA;NA;22;92.5;3.12928;1.1;1.1;0.36;0.46;18.333333;24.444444;26.666667;22.777778;NA;0.16153425
735080.208333;25.65400375;55.626;0.030988;25.65400375;NA;NA;22;89.5;2.90576;1.1;1.1;0.36;0.46;21.65000025;24.444444;24.98333325;22.777778;NA;0.100309
735080.25;24.19969425;55.626;0.030988;24.19969425;NA;NA;22.25;92.75;2.2352;1.1;1.1;0.36;0.46;22.755556;24.444444;24.422222;22.777778;NA;-0.420724
735080.291667;23.230156;55.626;0.030988;23.230156;NA;NA;23.25;86.25;2.2352;1.1;1.225;0.35;0.45;22.755556;24.444444;24.422222;22.777778;NA;-0.53033475
735080.333333;24.1343055;54.58975;0.030988;23.774017;159.8440635;NA;24.75;74;2.34696;1.1;1.1;0.34;0.44;22.755556;24.444444;24.422222;22.777778;NA;-0.55743575
735080.375;24.30944425;51.88475;0.030988;24.01708425;313.229781;NA;27.25;60.25;2.57048;1.1;1.1;0.34;0.44;22.755556;24.444444;24.422222;22.777778;NA;-0.5029205
735080.416667;24.73777775;50.41375;0.030988;24.55688425;739.21151925;NA;28.25;55;2.45872;1.1;1.1;0.34;0.44;22.755556;24.444444;24.422222;22.777778;NA;-0.3417345
735080.458333;24.73791675;49.706;0.030988;24.5820915;214.7400045;NA;29.25;53.5;3.01752;1.1;1.1375;0.34;0.44;22.755556;24.444444;24.422222;22.777778;NA;-0.25792725
735080.5;24.52652775;49.67825;0.030988;24.32729175;228.7330875;NA;30;48.25;2.57048;1.1;1.1;0.34;0.44;22.755556;24.444444;24.422222;22.777778;NA;-0.42615725
735080.541667;24.381389;49.874;0.030988;24.13272325;181.3718835;NA;30.25;46;2.34696;1.1;1.1;0.34;0.44;22.755556;24.444444;24.422222;22.777778;NA;-0.4849155
735080.583333;24.338889;50.35325;0.030988;24.0717405;153.65481525;NA;30.5;48.25;3.68808;1.1;1.14175;0.34;0.44;22.755556;24.444444;24.422222;22.777778;NA;-0.3990905
735080.625;24.2669445;50.44675;0.030988;23.99362975;138.04714575;NA;29;55;6.7056;1.1;1.1;0.34;0.44;22.755556;24.444444;24.422222;22.777778;NA;-0.5259585
735080.666667;24.1343055;51.09475;0.030988;23.8671405;134.0106795;NA;28.75;55.75;6.1468;1.1;1.1;0.34;0.44;22.755556;24.444444;24.422222;22.777778;NA;-0.5683295
735080.708333;24.073889;52.09;0.030988;23.79454075;92.83872375;NA;27.75;59;4.91744;1.1;1.1;0.34;0.44;22.755556;24.444444;24.422222;22.777778;NA;-0.58491325
735080.75;23.92347225;52.67625;0.030988;23.63207625;67.00533975;NA;26.75;62.75;5.588;1.1;1.1;0.34;0.44;22.755556;24.444444;24.422222;22.777778;NA;-0.6371365
735080.791667;23.70708325;51.9375;0.030988;23.42770325;53.55045225;NA;25.5;67.25;3.57632;1.1;1.1;0.34;0.44;22.755556;24.444444;24.422222;22.777778;NA;-0.71887425
735080.833333;23.56291675;51.1285;0.030988;23.28338175;62.9688735;NA;23.75;75;3.46456;1.1;1.1;0.34;0.44;22.755556;24.444444;24.422222;22.777778;NA;-0.776243
735080.875;23.59902775;50.5325;0.030988;23.369215;59.201505;NA;23;78;3.01752;1.1;1.1;0.34;0.44;19.43888875;24.444444;26.10555575;22.777778;NA;-0.75964525
735080.916667;23.845;51.47475;0.030988;23.69027925;23.680602;NA;23;78;2.68224;1.1;1.1;0.34;0.44;18.333333;24.444444;26.666667;22.777778;NA;-0.6522875
735080.958333;23.96597225;52.7685;0.030988;23.8411985;11.840301;NA;22.75;79.25;2.57048;1.1;1.1;0.34;0.44;18.333333;24.444444;26.666667;22.777778;NA;-0.59451
735081;24.07402775;53.8685;0.030988;23.9750435;11.840301;NA;22;83;2.01168;1.1;1.1;0.355;0.455;18.333333;24.444444;26.666667;22.777778;NA;-0.50620325
735081.041667;24.18277775;54.67475;0.030988;24.0829375;11.840301;NA;22;83;1.34112;1.1;1.1;0.36;0.46;18.333333;24.444444;26.666667;22.777778;NA;-0.44910875
735081.083333;24.255;55.4675;0.030988;24.180516;11.840301;NA;22;83;1.34112;1.1;1.1;0.36;0.46;18.333333;24.444444;26.666667;22.777778;NA;-0.41354525
735081.125;24.33291675;56.30525;0.030988;24.26502325;11.840301;NA;21.75;84.25;1.6764;1.1;1.1;0.36;0.46;18.333333;24.444444;26.666667;22.777778;NA;-0.37845175
735081.166667;24.40597225;57.1485;0.030988;24.33063225;11.840301;NA;21;88;2.68224;1.1;1.1;0.36;0.46;18.333333;24.444444;26.666667;22.777778;NA;-0.34717525
735081.208333;24.33958325;60.2935;0.030988;24.18989675;11.840301;NA;21.25;88;2.68224;1.1;1.1;0.36;0.46;21.65000025;24.444444;24.98333325;22.777778;NA;-0.3594445
735081.25;23.9175;57.48475;0.030988;23.60733175;11.840301;NA;22.25;86.75;2.68224;1.1;1.1;0.36;0.46;22.755556;24.444444;24.422222;22.777778;NA;-0.556164
735081.291667;23.5869445;54.10375;0.030988;23.2393475;86.91857325;NA;23.25;81.75;2.90576;1.1;1.225;0.355;0.455;22.755556;24.444444;24.422222;22.777778;NA;-0.4628295
