"Timestamp";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V59";"V60";"V61";"V62";"V66";"V118"
735080;24.1705555;59.43325;0.030988;24.00281425;NA;NA;23;89;1.22936;1.1;1.1;0.59;0.69;18.333333;26.666667;26.666667;25;NA;0.06506975
735080.041667;24.32097225;59.834;0.030988;24.1410625;NA;NA;22.75;88.75;1.00584;1.1;1.1;0.59;0.69;18.333333;26.666667;26.666667;25;NA;0.112161
735080.083333;24.4419445;60.22275;0.030988;24.26146875;NA;NA;22;89.5;1.34112;1.1;1.1;0.59;0.69;18.333333;26.666667;26.666667;25;NA;0.15178475
735080.125;24.56277775;60.55675;0.030988;24.3757195;NA;NA;22;94;1.78816;1.1;1.1;0.59;0.69;18.333333;26.666667;26.666667;25;NA;0.19021275
735080.166667;24.66527775;60.965;0.030988;24.490687;NA;NA;22;92.5;3.12928;1.1;1.1;0.59;0.69;18.333333;26.666667;26.666667;25;NA;0.22616875
735080.208333;24.71388875;62.602;0.030988;24.49532775;NA;NA;22;89.5;2.90576;1.1;1.1;0.59;0.69;21.20000025;26.666667;25.7833335;25;NA;0.247465
735080.25;24.50222225;60.57725;0.030988;24.16016625;NA;NA;22.25;92.75;2.2352;1.1;1.1;0.59;0.69;22.155556;26.666667;25.488889;25;NA;0.15147
735080.291667;24.128611;58.23775;0.030988;23.7246225;NA;NA;23.25;86.25;2.2352;1.1;1.1;0.59;0.69;22.155556;26.666667;25.488889;25;NA;0.01265125
735080.333333;23.71902775;55.80175;0.030988;23.28503925;NA;NA;24.75;74;2.34696;1.1;1.225;0.59;0.69;22.155556;26.666667;25.488889;25;NA;0.06135175
735080.375;23.7069445;55.42625;0.030988;23.45278075;NA;NA;27.25;60.25;2.57048;1.1;1.1;0.59;0.69;22.155556;26.666667;25.488889;25;NA;-0.11546575
735080.416667;23.8691665;54.5755;0.030988;23.6400905;NA;NA;28.25;55;2.45872;1.1;1.1;0.59;0.69;22.155556;26.666667;25.488889;25;NA;-0.0692805
735080.458333;23.996111;53.3625;0.030988;23.7350955;NA;NA;29.25;53.5;3.01752;1.1;1.1;0.59;0.69;22.155556;26.666667;25.488889;25;NA;-0.04388475
735080.5;24.0080555;53.2545;0.030988;23.75936175;NA;NA;30;48.25;2.57048;1.1;1.1;0.59;0.69;22.155556;26.666667;25.488889;25;NA;-0.03944475
