"Timestamp";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V59";"V60";"V61";"V62";"V66";"V118"
735080;24.683611;62.15525;0.02921;24.79535325;NA;NA;23;89;1.22936;1.1;1.1;0.46;0.56;10;24.444444;26.666667;22.222222;NA;0.03669775
735080.041667;24.75597225;62.5565;0.030988;24.8623765;NA;NA;22.75;88.75;1.00584;1.1;1.1;0.46;0.56;10;24.444444;26.666667;22.222222;NA;0.06319875
735080.083333;24.822639;62.93425;0.030988;24.9160095;NA;NA;22;89.5;1.34112;1.1;1.1;0.46;0.56;10;24.444444;26.666667;22.222222;NA;0.08651975
735080.125;24.8830555;63.1955;0.030988;24.976854;NA;NA;22;94;1.78816;1.1;1.1;0.46;0.56;10;24.444444;26.666667;22.222222;NA;0.1088385
735080.166667;24.931389;63.66075;0.03048;25.0002545;NA;NA;22;92.5;3.12928;1.1;1.1;0.46;0.56;10;24.444444;26.666667;22.222222;NA;0.124974
735080.208333;24.8408335;65.034;0.041148;24.702074;NA;NA;22;89.5;2.90576;1.1;1.1;0.46;0.56;19.05000025;24.444444;24.8833335;22.222222;NA;0.0748635
735080.25;24.05027775;61.616;0.037084;23.595418;NA;NA;22.25;92.75;2.2352;1.1;1.1;0.46;0.56;22.066667;24.444444;24.288889;22.222222;NA;-0.26054325
735080.291667;23.4005555;59.02825;0.04953;22.9127465;NA;NA;23.25;86.25;2.2352;1.1;1.1;0.46;0.56;22.066667;24.444444;24.288889;22.222222;NA;-0.499871
735080.333333;22.85402775;57.4955;0.06604;22.54777325;NA;NA;24.75;74;2.34696;1.1;1.1;0.46;0.56;22.066667;24.444444;24.288889;22.222222;NA;-0.70005
735080.375;23.08208325;56.30675;0.03556;22.92069575;NA;NA;27.25;60.25;2.57048;1.1;1.1;0.46;0.56;22.066667;24.444444;24.288889;22.222222;NA;-0.578073
735080.416667;23.43638875;54.8955;0.039497;23.43638275;NA;NA;28.25;55;2.45872;1.1;1.1;0.46;0.56;21.588889;24.444444;23.811111;22.222222;NA;-0.44747425
735080.458333;23.3881945;54.23275;0.032258;23.2579575;NA;NA;29.25;53.5;3.01752;1.1;1.1;0.46;0.56;21.111111;24.444444;23.333333;22.222222;NA;-0.48653325
735080.5;23.16;54.20025;0.036322;22.911616;NA;NA;30;48.25;2.57048;1.1;1.1;0.46;0.56;21.111111;24.444444;23.333333;22.222222;NA;-0.57896625
735080.541667;23.03402775;54.346;0.03556;22.79218225;NA;NA;30.25;46;2.34696;1.1;1.1;0.46;0.56;21.2777775;24.444444;23.5;22.222222;NA;-0.61868725
735080.583333;23.1419445;54.5255;0.031496;23.03043025;NA;NA;30.5;48.25;3.68808;1.1;1.1;0.46;0.56;21.444444;24.444444;23.666667;22.222222;NA;-0.5633525
735080.625;23.207778;54.3085;0.027686;23.096825;NA;NA;29;55;6.7056;1.1;1.1;0.46;0.56;21.444444;24.444444;23.666667;22.222222;NA;-0.54297275
735080.666667;23.226111;54.56125;0.066167;23.075697;NA;NA;28.75;55.75;6.1468;1.1;1.1;0.46;0.56;21.444444;24.444444;23.666667;22.222222;NA;-0.59956125
735080.708333;23.13597225;55.6545;0.052197;23.04884475;NA;NA;27.75;59;4.91744;1.1;1.1;0.46;0.56;21.444444;24.444444;23.666667;22.222222;NA;-0.58775325
735080.75;22.94402775;56.23225;0.037338;22.68973725;NA;NA;26.75;62.75;5.588;1.1;1.1;0.46;0.56;21.444444;24.444444;23.666667;22.222222;NA;-0.63743825
735080.791667;22.7169445;55.523;0.035306;22.44385625;NA;NA;25.5;67.25;3.57632;1.1;1.1;0.46;0.56;21.444444;24.444444;23.666667;22.222222;NA;-0.7200295
