"Timestamp";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V59";"V60";"V61";"V62";"V66";"V118"
735080;25.285245;55.626;0.030988;25.285245;NA;NA;23;89;1.22936;1.1;1.1;0.51;0.61;10;26.666667;26.666667;23.888889;NA;0.263535
735080.041667;25.19281;55.626;0.030988;25.19281;NA;NA;22.75;88.75;1.00584;1.1;1.1;0.51;0.61;10;26.666667;26.666667;23.888889;NA;0.23392625
735080.083333;25.118862;55.626;0.030988;25.118862;NA;NA;22;89.5;1.34112;1.1;1.1;0.51;0.61;10;26.666667;26.666667;23.888889;NA;0.21024025
735080.125;25.044914;55.626;0.030988;25.044914;NA;NA;22;94;1.78816;1.1;1.1;0.51;0.61;10;26.666667;26.666667;23.888889;NA;0.186556
735080.166667;24.970966;55.626;0.030988;24.970966;NA;NA;22;92.5;3.12928;1.1;1.1;0.51;0.61;10;26.666667;26.666667;23.888889;NA;0.16287275
735080.208333;24.34240725;55.626;0.030988;24.34240725;NA;NA;22;89.5;2.90576;1.1;1.1;0.51;0.61;19.5833335;26.666667;24.99999975;23.888889;NA;-0.0383345
735080.25;23.0662925;55.626;0.030988;23.0662925;NA;NA;22.25;92.75;2.2352;1.1;1.1;0.51;0.61;22.777778;26.666667;24.444444;23.888889;NA;-0.4464765
735080.291667;22.918112;55.626;0.030988;22.918112;NA;NA;23.25;86.25;2.2352;1.1;1.1;0.51;0.61;22.777778;26.666667;24.444444;23.888889;NA;-0.49382075
735080.333333;22.65849975;55.626;0.030988;22.65849975;NA;NA;24.75;74;2.34696;1.1;1.1;0.51;0.61;22.777778;26.666667;24.444444;23.888889;NA;-0.57675625
735080.375;22.992287;55.626;0.030988;22.992287;NA;NA;27.25;60.25;2.57048;1.1;1.1;0.51;0.61;22.777778;26.666667;24.444444;23.888889;NA;-0.47012475
735080.416667;22.84393775;55.626;0.030988;22.84393775;NA;NA;28.25;55;2.45872;1.1;1.1;0.51;0.61;22.777778;26.666667;24.444444;23.888889;NA;-0.517524
735080.458333;22.769763;55.626;0.030988;22.769763;NA;NA;29.25;53.5;3.01752;1.1;1.1;0.51;0.61;22.777778;26.666667;24.444444;23.888889;NA;-0.5412215
735080.5;22.78830725;55.626;0.030988;22.78830725;NA;NA;30;48.25;2.57048;1.1;1.1;0.51;0.61;22.777778;26.666667;24.444444;23.888889;NA;-0.53529675
735080.541667;22.93665575;55.626;0.030988;22.93665575;NA;NA;30.25;46;2.34696;1.1;1.1;0.51;0.61;22.777778;26.666667;24.444444;23.888889;NA;-0.4879015
735080.583333;23.418055;55.626;0.030988;23.418055;NA;NA;30.5;48.25;3.68808;1.1;1.1;0.51;0.61;22.777778;26.666667;24.444444;23.888889;NA;-0.3340555
735080.625;23.6768745;55.626;0.030988;23.6768745;NA;NA;29;55;6.7056;1.1;1.1;0.51;0.61;22.777778;26.666667;24.444444;23.888889;NA;-0.251296
735080.666667;23.991153;55.626;0.030988;23.991153;NA;NA;28.75;55.75;6.1468;1.1;1.19375;0.56;0.66;22.777778;26.666667;24.444444;23.888889;NA;0.0851745
735080.708333;24.046614;55.626;0.030988;24.046614;NA;NA;27.75;59;4.91744;1.1;1.1;0.61;0.71;22.777778;26.666667;24.444444;23.888889;NA;0.05791525
735080.75;23.380855;55.626;0.030988;23.380855;NA;NA;26.75;62.75;5.588;1.1;1.1;0.61;0.71;22.777778;26.666667;24.444444;23.888889;NA;-0.14084725
735080.791667;22.95519975;55.626;0.030988;22.95519975;NA;NA;25.5;67.25;3.57632;1.1;1.1;0.61;0.71;22.777778;26.666667;24.444444;23.888889;NA;-0.267837
735080.833333;22.89956875;55.626;0.030988;22.89956875;NA;NA;23.75;75;3.46456;1.1;1.1;0.61;0.71;22.777778;26.666667;24.444444;23.888889;NA;-0.2844255
735080.875;23.2140745;55.626;0.030988;23.2140745;NA;NA;23;78;3.01752;1.1;1.1;0.61;0.71;13.1944445;26.666667;26.11111125;23.888889;NA;-0.1905665
735080.916667;23.898718;55.626;0.030988;23.898718;NA;NA;23;78;2.68224;1.1;1.1;0.61;0.71;10;26.666667;26.666667;23.888889;NA;0.013728
735080.958333;23.991153;55.626;0.030988;23.991153;NA;NA;22.75;79.25;2.57048;1.1;1.1;0.61;0.71;10;26.666667;26.666667;23.888889;NA;0.041341
735081;24.083588;55.626;0.030988;24.083588;NA;NA;22;83;2.01168;1.1;1.1;0.535;0.635;10;26.666667;26.666667;23.888889;NA;-0.073557
735081.041667;24.065101;55.626;0.030988;24.065101;NA;NA;22;83;1.34112;1.1;1.1;0.51;0.61;10;26.666667;26.666667;23.888889;NA;-0.12710775
735081.083333;24.120562;55.626;0.030988;24.120562;NA;NA;22;83;1.34112;1.1;1.1;0.51;0.61;10;26.666667;26.666667;23.888889;NA;-0.10936225
735081.125;24.139049;55.626;0.030988;24.139049;NA;NA;21.75;84.25;1.6764;1.1;1.1;0.51;0.61;10;26.666667;26.666667;23.888889;NA;-0.103447
735081.166667;24.139049;55.626;0.030988;24.139049;NA;NA;21;88;2.68224;1.1;1.1;0.51;0.61;10;26.666667;26.666667;23.888889;NA;-0.103447
735081.208333;23.58438225;55.626;0.030988;23.58438225;NA;NA;21.25;88;2.68224;1.1;1.1;0.51;0.61;19.5833335;26.666667;24.99999975;23.888889;NA;-0.28084475
735081.25;22.93665575;55.626;0.030988;22.93665575;NA;NA;22.25;86.75;2.68224;1.1;1.1;0.51;0.61;22.777778;26.666667;24.444444;23.888889;NA;-0.4878985
735081.291667;22.7511045;55.626;0.030988;22.7511045;NA;NA;23.25;81.75;2.90576;1.1;1.525;0.4925;0.5925;22.777778;26.666667;24.444444;23.888889;NA;-0.04745025
735081.333333;22.565781;55.626;0.030988;22.565781;NA;NA;24.5;74.75;3.57632;1.1;1.1;0.44;0.54;22.777778;26.666667;24.444444;23.888889;NA;-0.7837595
735081.375;22.80685075;55.626;0.030988;22.80685075;NA;NA;26;65;3.79984;1.1;1.1;0.44;0.54;22.777778;26.666667;24.444444;23.888889;NA;-0.70263425
735081.416667;22.80684975;55.626;0.030988;22.80684975;NA;NA;26.25;63.25;4.24688;1.1;1.1;0.44;0.54;22.777778;26.666667;24.444444;23.888889;NA;-0.7026345
735081.458333;22.8810245;55.626;0.030988;22.8810245;NA;NA;27.25;56.25;3.68808;1.1;1.1;0.44;0.54;22.777778;26.666667;24.444444;23.888889;NA;-0.677665
