"Timestamp";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V59";"V60";"V61";"V62";"V66";"V118"
735080;25.5619445;57.275;0.030988;25.5619445;11.840301;466.1;23;89;1.22936;1.1;1.1;0.34;0.44;10;24.444444;26.666667;23.333333;NA;0.04025775
735080.041667;25.610278;57.74175;0.030988;25.610278;11.840301;467.2;22.75;88.75;1.00584;1.1;1.1;0.34;0.44;10;24.444444;26.666667;23.333333;NA;0.061978
735080.083333;25.647222;58.52425;0.030988;25.647222;11.840301;467.95;22;89.5;1.34112;1.1;1.1;0.34;0.44;10;24.444444;26.666667;23.333333;NA;0.0811845
735080.125;25.671111;59.435;0.030988;25.671111;11.840301;468.425;22;94;1.78816;1.1;1.1;0.34;0.44;10;24.444444;26.666667;23.333333;NA;0.09721475
735080.166667;25.66513875;60.09125;0.030988;25.66513875;11.840301;468.375;22;92.5;3.12928;1.1;1.1;0.34;0.44;10;24.444444;26.666667;23.333333;NA;0.10023
735080.208333;25.20458325;64.062;0.030988;25.20458325;11.840301;481.525;22;89.5;2.90576;1.1;1.1;0.34;0.44;18.066667;24.444444;24.7333335;23.333333;NA;-0.038364
735080.25;23.05875;61.75375;0.030988;23.05875;17.49135375;483.525;22.25;92.75;2.2352;1.1;1.1;0.34;0.44;20.755556;24.444444;24.088889;23.333333;NA;-0.84331675
735080.291667;21.652361;61.28975;0.030988;21.652361;84.76579125;491.75;23.25;86.25;2.2352;1.1;1.1;0.34;0.44;20.755556;24.444444;24.088889;23.333333;NA;-1.36109075
735080.333333;21.32388875;59.6925;0.030988;21.32388875;311.34609675;505.05;24.75;74;2.34696;1.1;1.1;0.34;0.44;20.755556;24.444444;24.088889;23.333333;NA;-1.49110425
735080.375;21.515;59.16425;0.030988;21.515;737.05873725;553.725;27.25;60.25;2.57048;1.1;1.225;0.33;0.43;20.755556;24.444444;24.088889;23.333333;NA;-1.14047475
735080.416667;22.728611;55.8945;0.030988;22.728611;811.86791175;622.55;28.25;55;2.45872;1.1;1.1;0.32;0.42;20.755556;24.444444;24.088889;23.333333;NA;-1.062851
735080.458333;23.28597225;53.79575;0.030988;23.28597225;467.153694;644.375;29.25;53.5;3.01752;1.1;1.1;0.32;0.42;20.755556;24.444444;24.088889;23.333333;NA;-0.87087375
735080.5;23.25;53.16375;0.030988;23.25;455.04429525;650.625;30;48.25;2.57048;1.1;1.1625;0.32;0.42;20.755556;24.444444;24.088889;23.333333;NA;-0.7280545
735080.541667;23.22;53.1595;0.030988;23.22;412.257753;656.6;30.25;46;2.34696;1.1;1.1;0.32;0.42;20.755556;24.444444;24.088889;23.333333;NA;-0.89964175
735080.583333;23.243889;53.39825;0.030988;23.243889;392.07542175;652.925;30.5;48.25;3.68808;1.1;1.1;0.32;0.42;20.755556;24.444444;24.088889;23.333333;NA;-0.88917175
735080.625;23.20208325;53.61175;0.030988;23.20208325;366.78023325;683.475;29;55;6.7056;1.1;1.1625;0.32;0.42;20.755556;24.444444;24.088889;23.333333;NA;-0.7413885
735080.666667;23.123889;54.07675;0.030988;23.123889;261.83211075;649.425;28.75;55.75;6.1468;1.1;1.1;0.32;0.42;20.755556;24.444444;24.088889;23.333333;NA;-0.928954
735080.708333;22.7705555;56.6925;0.030988;22.7705555;179.48819925;620.875;27.75;59;4.91744;1.1;1.1;0.32;0.42;20.755556;24.444444;24.088889;23.333333;NA;-1.0422525
735080.75;22.33958325;57.75675;0.030988;22.33958325;65.1216555;581.475;26.75;62.75;5.588;1.1;1.1;0.32;0.42;20.755556;24.444444;24.088889;23.333333;NA;-1.1943885
735080.791667;21.67611125;57.43275;0.030988;21.67611125;29.6007525;548.05;25.5;67.25;3.57632;1.1;1.1;0.32;0.42;20.755556;24.444444;24.088889;23.333333;NA;-1.44258825
735080.833333;21.0019445;57.6685;0.030988;21.0019445;15.6076695;525.65;23.75;75;3.46456;1.1;1.1;0.32;0.42;20.755556;24.444444;24.088889;23.333333;NA;-1.69112425
735080.875;21.19291675;58.06575;0.030988;21.19291675;11.840301;508.4;23;78;3.01752;1.1;1.1;0.32;0.42;12.688889;24.444444;26.0222225;23.333333;NA;-1.617869
735080.916667;22.5669445;57.112;0.030988;22.5669445;11.840301;497.7;23;78;2.68224;1.1;1.1;0.32;0.42;10;24.444444;26.666667;23.333333;NA;-1.114641
735080.958333;23.31625;56.38;0.030988;23.31625;11.840301;489.325;22.75;79.25;2.57048;1.1;1.1;0.32;0.42;10;24.444444;26.666667;23.333333;NA;-0.841993
735081;23.76097225;56.39975;0.030988;23.76097225;11.840301;484.1;22;83;2.01168;1.1;1.1;0.335;0.435;10;24.444444;26.666667;23.333333;NA;-0.63726225
735081.041667;24.0380555;56.43275;0.030988;24.0380555;11.840301;477.55;22;83;1.34112;1.1;1.1;0.34;0.44;10;24.444444;26.666667;23.333333;NA;-0.52243725
735081.083333;24.255;56.66725;0.030988;24.255;11.840301;473.425;22;83;1.34112;1.1;1.1;0.34;0.44;10;24.444444;26.666667;23.333333;NA;-0.44179925
735081.125;24.41777775;56.995;0.030988;24.41777775;11.840301;472.675;21.75;84.25;1.6764;1.1;1.1;0.34;0.44;10;24.444444;26.666667;23.333333;NA;-0.380512
735081.166667;24.54458325;57.40225;0.030988;24.54458325;11.840301;470.4;21;88;2.68224;1.1;1.1;0.34;0.44;10;24.444444;26.666667;23.333333;NA;-0.33113425
735081.208333;24.15277775;63.36575;0.030988;24.15277775;11.840301;477.4;21.25;88;2.68224;1.1;1.1;0.34;0.44;18.066667;24.444444;24.7333335;23.333333;NA;-0.43086675
735081.25;22.06472225;61.1975;0.030988;22.06472225;15.6076695;478.625;22.25;86.75;2.68224;1.1;1.1;0.34;0.44;20.755556;24.444444;24.088889;23.333333;NA;-1.210942
735081.291667;21.0019445;59.596;0.030988;21.0019445;108.44639325;478.025;23.25;81.75;2.90576;1.1;1.1;0.34;0.44;20.755556;24.444444;24.088889;23.333333;NA;-1.6092755
735081.333333;20.68;58.7825;0.030988;20.68;415.75602375;506.425;24.5;74.75;3.57632;1.1;1.1;0.34;0.44;20.755556;24.444444;24.088889;23.333333;NA;-1.7316485
735081.375;21.1630555;58.015;0.030988;21.1630555;585.28760625;543.5;26;65;3.79984;1.1;1.1;0.34;0.44;20.755556;24.444444;24.088889;23.333333;NA;-1.560026
735081.416667;21.7955555;56.17725;0.030988;21.7955555;494.6016645;598.45;26.25;63.25;4.24688;1.1;1.1;0.34;0.44;20.755556;24.444444;24.088889;23.333333;NA;-1.3408945
735081.458333;21.6758335;55.41725;0.030988;21.6758335;478.993995;630.95;27.25;56.25;3.68808;1.1;1.1;0.34;0.44;20.755556;24.444444;24.088889;23.333333;NA;-1.389224
735081.5;21.64;54.70625;0.030988;21.64;429.480009;642.25;28;52;3.9116;1.1;1.1;0.34;0.44;20.755556;24.444444;24.088889;23.333333;NA;-1.40669825
735081.541667;21.59847225;55.2425;0.030988;21.59847225;370.54760175;647.9;28.25;54;3.01752;1.1;1.1;0.34;0.44;20.755556;24.444444;24.088889;23.333333;NA;-1.41845575
735081.583333;21.5444445;55.6455;0.030988;21.5444445;266.13767475;660.85;28.75;51;1.1176;1.1;1.1;0.34;0.44;20.755556;24.444444;24.088889;23.333333;NA;-1.435604
735081.625;21.40763875;55.2155;0.030988;21.40763875;210.70353825;683.475;28.25;51;0.89408;1.1;1.075;0.3175;0.4175;20.755556;24.444444;24.088889;23.333333;NA;-1.6772
735081.666667;21.28791675;55.53825;0.030988;21.28791675;201.01601925;699.775;29;50.25;2.2352;1.1;1.1;0.31;0.41;20.755556;24.444444;24.088889;23.333333;NA;-1.632754
735081.708333;21.24027775;56.527;0.030988;21.24027775;185.40834975;689.7;29;48;2.34696;1.1;1.2;0.31;0.41;20.755556;24.444444;24.088889;23.333333;NA;-1.35920875
735081.75;21.25236125;56.89125;0.030988;21.25236125;149.618349;653.375;28.75;50.5;3.3528;1.1;1.1;0.31;0.41;20.755556;24.444444;24.088889;23.333333;NA;-1.63777375
735081.791667;21.0256945;56.82675;0.030988;21.0256945;51.1285725;616.75;27.5;62;5.0292;1.1;1.1;0.31;0.41;20.755556;24.444444;24.088889;23.333333;NA;-1.7228565
735081.833333;20.67444425;57.649;0.030988;20.67444425;11.840301;578.3;25.75;75;3.79984;1.1;1.1;0.31;0.41;20.755556;24.444444;24.088889;23.333333;NA;-1.84923025
735081.875;21.0141665;57.9535;0.030988;21.0141665;11.840301;546.7;24.75;78;2.90576;1.1;1.1;0.31;0.41;12.688889;24.444444;26.0222225;23.333333;NA;-1.7205635
735081.916667;22.4469445;57.326;0.030988;22.4469445;11.840301;522.15;24;78;2.01168;1.1;1.1;0.31;0.41;10;24.444444;26.666667;23.333333;NA;-1.1889175
735081.958333;23.23791675;57.11275;0.030988;23.23791675;11.840301;507.65;23.75;79.25;1.56464;1.1;1.1;0.31;0.41;10;24.444444;26.666667;23.333333;NA;-0.89363375
735082;23.7130555;56.835;0.030988;23.7130555;11.840301;501.975;23;84.5;2.01168;1.1;1.1;0.3325;0.4325;10;24.444444;26.666667;23.333333;NA;-0.6584405
735082.041667;24.05597225;57.03425;0.030988;24.05597225;11.840301;494.025;23;89;1.56464;1.1;1.1;0.34;0.44;10;24.444444;26.666667;23.333333;NA;-0.511559
735082.083333;24.3031945;57.32725;0.030988;24.3031945;11.840301;488.125;22.75;87.5;2.45872;1.1;1.1;0.34;0.44;10;24.444444;26.666667;23.333333;NA;-0.419557
735082.125;24.50833325;57.777;0.030988;24.50833325;11.840301;481.525;22;84.25;2.68224;1.1;1.1;0.34;0.44;10;24.444444;26.666667;23.333333;NA;-0.34160925
735082.166667;24.66527775;58.21175;0.030988;24.66527775;11.840301;480.775;22;88;1.34112;1.1;1.1;0.34;0.44;10;24.444444;26.666667;23.333333;NA;-0.280937
735082.208333;24.30375;63.96075;0.030988;24.30375;11.840301;487.2;22.25;88.25;1.34112;1.1;1.1;0.34;0.44;18.066667;24.444444;24.7333335;23.333333;NA;-0.370947
735082.25;22.2919445;61.827;0.030988;22.2919445;15.6076695;488.7;23;90.25;1.34112;1.1;1.1;0.34;0.44;20.755556;24.444444;24.088889;23.333333;NA;-1.1236105
